nom,marque,categorie,prix_eur,caracteristiques,description_fr,description_en,description_kr,type_produit
Crème Solaire SPF50,Protection Soleil,Solaire,30.0,SPF50|protection|léger,Crème solaire légère SPF50 à texture fluide. Protection haute sans effet blanc.,Light SPF50 sunscreen with fluid texture. High protection without white cast.,백탁 없이 높은 자외선 차단을 제공하는 가벼운 질감의 SPF50 선크림.,creme
Stick Solaire SPF30,Protection Soleil,Solaire,18.0,stick|pratique|SPF30,Stick solaire pratique à appliquer sur le visage et le corps. Format voyage idéal.,Convenient sun stick to apply on face and body. Ideal travel size.,얼굴과 몸에 편리하게 바를 수 있는 선 스틱. 여행용으로 이상적인 사이즈.,solaire
Brume Solaire SPF50,Protection Soleil,Solaire,25.0,brume|SPF50|corps,Brume solaire en spray pour une application facile sur tout le corps. Résistant à l'eau.,Sun mist spray for easy application all over the body. Water resistant.,몸 전체에 쉽게 분사할 수 있는 선 미스트 스프레이. 방수 기능.,solaire
After Sun Apaisant,Protection Soleil,Solaire,22.0,après-soleil|apaisant|aloe,Soin après-soleil à l'aloe vera pour apaiser et réparer la peau après l'exposition.,After-sun care with aloe vera to soothe and repair skin after sun exposure.,햇볕 노출 후 피부를 진정시키고 회복시키는 알로에 베라 애프터선 케어.,solaire
Autobronzant Visage,Protection Soleil,Solaire,28.0,autobronzant|naturel|visage,Autobronzant visage pour un hâle naturel progressif sans exposition au soleil.,Face self-tanner for a gradual natural tan without sun exposure.,태양 노출 없이 점진적으로 자연스러운 태닝을 위한 페이스 셀프 태너.,solaire
Shampoing Doux Quotidien,Cheveux Lumière,Cheveux,20.0,doux|quotidien|tous types,Shampoing doux pour une utilisation quotidienne. Nettoie et respecte l'équilibre du cuir chevelu.,Gentle shampoo for daily use. Cleanses and respects scalp balance.,두피 균형을 유지하면서 세정하는 매일 사용 가능한 순한 샴푸.,cheveux
Masque Nourrissant Cheveux,Cheveux Lumière,Cheveux,28.0,nourrissant|répare|cheveux secs,Masque intensif pour cheveux secs et abîmés. Répare et nourrit en profondeur.,Intensive mask for dry and damaged hair. Deeply repairs and nourishes.,건조하고 손상된 모발을 위한 집중 마스크. 깊은 영양 공급과 복구.,masque
Huile Capillaire Argan,Cheveux Lumière,Cheveux,35.0,argan|brillance|anti-frisottis,Huile capillaire à l'argan pour des cheveux brillants et disciplinés. Réduit les frisottis.,Argan hair oil for shiny and tamed hair. Reduces frizz.,빛나고 정돈된 모발을 위한 아르간 헤어 오일. 곱슬거림 감소.,huile
Sérum Croissance Cheveux,Cheveux Lumière,Cheveux,48.0,croissance|densité|cuir chevelu,Sérum stimulant pour favoriser la croissance et la densité des cheveux.,Stimulating serum to promote hair growth and density.,모발 성장과 밀도를 촉진하는 자극 세럼.,serum
Spray Protecteur Chaleur,Cheveux Lumière,Cheveux,22.0,protection chaleur|lissant|brillance,Spray protecteur thermique avant lissage ou brushing. Protège jusqu'à 230°C.,Thermal protective spray before straightening or blow-drying. Protects up to 230°C.,스트레이트닝 또는 드라이 전 사용하는 열 보호 스프레이. 230°C까지 보호.,cheveux
Parfum Floral Élégance,Lovely Glow,Parfum,85.0,floral|élégant|longue tenue,Eau de parfum aux notes florales de rose et jasmin. Sillage élégant et raffiné.,Eau de parfum with floral notes of rose and jasmine. Elegant and refined trail.,장미와 재스민의 플로럴 향이 담긴 오드 퍼퓸. 우아하고 세련된 잔향.,parfum
Parfum Oriental Mystère,Lovely Glow,Parfum,92.0,oriental|boisé|sensuel,Eau de parfum aux notes orientales de bois de santal et ambre. Mystérieux et sensuel.,Eau de parfum with oriental notes of sandalwood and amber. Mysterious and sensual.,샌달우드와 앰버의 오리엔탈 향이 담긴 오드 퍼퓸. 신비롭고 관능적.,parfum
Parfum Frais Aquatique,Lovely Glow,Parfum,75.0,frais|aquatique|léger,Eau de toilette aux notes aquatiques et citronnées. Frais et énergisant pour le quotidien.,Eau de toilette with aquatic and citrus notes. Fresh and energizing for everyday.,아쿠아틱과 시트러스 향이 담긴 오드 뚜왈렛. 일상을 위한 상쾌하고 활기찬 향.,parfum
Bougie Parfumée Rose,Lovely Glow,Parfum,45.0,bougie|rose|ambiance,Bougie parfumée à la rose pour créer une ambiance douce et romantique à la maison.,Rose-scented candle to create a soft and romantic atmosphere at home.,집에서 부드럽고 로맨틱한 분위기를 연출하는 로즈 향 캔들.,parfum
Diffuseur Parfum Maison,Lovely Glow,Parfum,55.0,diffuseur|ambiance|longue durée,Diffuseur de parfum d'intérieur aux tiges en rotin pour une fragrance constante.,Indoor fragrance diffuser with rattan sticks for a constant scent.,일정한 향기를 위한 라탄 스틱 실내 향기 디퓨저.,parfum
Crème Mains Nourrissante,Corps Doux,Corps,15.0,mains|nourrissant|absorption rapide,Crème mains ultra-nourrissante à absorption rapide. Protège et adoucit les mains sèches.,Ultra-nourishing hand cream with quick absorption. Protects and softens dry hands.,빠르게 흡수되는 초보습 핸드크림. 건조한 손을 보호하고 부드럽게 만들어줍니다.,creme
Lait Corps Hydratant,Corps Doux,Corps,20.0,corps|hydratant|doux,Lait corps léger à texture fondante pour une hydratation longue durée de la peau.,Light body lotion with melting texture for long-lasting skin hydration.,오래 지속되는 보습을 위한 부드러운 질감의 가벼운 바디 로션.,lotion
Gommage Corps Sucre,Corps Doux,Corps,25.0,gommage|sucre|éclat,Gommage corps au sucre pour une peau lisse et lumineuse. Parfum gourmand irrésistible.,Sugar body scrub for smooth and luminous skin. Irresistible gourmet fragrance.,매끄럽고 빛나는 피부를 위한 슈가 바디 스크럽. 저항할 수 없는 달콤한 향기.,gommage
Huile Corps Sèche,Corps Doux,Corps,32.0,huile sèche|soyeux|éclat,Huile corps sèche non grasse qui laisse la peau satinée et lumineuse.,Non-greasy dry body oil that leaves skin satin and luminous.,피부를 새틴처럼 빛나게 하는 끈적임 없는 드라이 바디 오일.,huile
Beurre Corps Karité,Corps Doux,Corps,28.0,karité|nourrissant|peau sèche,Beurre corps au karité pour une nutrition intense des peaux très sèches.,Shea butter body balm for intense nourishment of very dry skin.,매우 건조한 피부의 집중 영양 공급을 위한 시어버터 바디 밤.,baume
Fond de Teint Peau Nue,Yeonji cosmetics,Maquillage,45.0,naturel|léger|peau nue,Fond de teint effet peau nue pour un rendu naturel et imperceptible. Longue tenue 24h.,Bare skin effect foundation for a natural and imperceptible finish. 24h long-lasting.,자연스럽고 티 없는 피부 표현을 위한 맨 피부 효과 파운데이션. 24시간 지속.,fond_de_teint
Primer Lissant Pores,Yeonji cosmetics,Maquillage,32.0,primer|pores|lissant,Primer lissant qui minimise les pores et prolonge la tenue du maquillage.,Smoothing primer that minimizes pores and extends makeup wear.,모공을 최소화하고 메이크업 지속력을 높이는 스무딩 프라이머.,maquillage
Correcteur Anti-Cernes,Yeonji cosmetics,Maquillage,28.0,correcteur|cernes|couvrance,Correcteur haute couvrance pour masquer les cernes et les imperfections.,High-coverage concealer to hide dark circles and imperfections.,다크서클과 결점을 커버하는 고커버리지 컨실러.,maquillage
Poudre Libre Transparente,Yeonji cosmetics,Maquillage,30.0,poudre|transparent|matifiant,Poudre libre transparente pour fixer le maquillage et contrôler le brillant.,Translucent loose powder to set makeup and control shine.,메이크업을 고정하고 광택을 조절하는 투명 루스 파우더.,maquillage
Mascara Volume Extrême,Yeonji cosmetics,Maquillage,26.0,mascara|volume|longue tenue,Mascara volumisant pour des cils spectaculaires. Formule longue tenue résistante à l'eau.,Volumizing mascara for spectacular lashes. Long-lasting water-resistant formula.,스펙타클한 속눈썹을 위한 볼류마이징 마스카라. 방수 장지속 포뮬러.,maquillage
Crème Solaire Teintée,Paris Glow,Solaire,35.0,teintée|SPF30|naturel,Crème solaire légèrement teintée SPF30 pour protéger et unifier le teint naturellement.,Lightly tinted SPF30 sunscreen to protect and naturally even out complexion.,피부톤을 자연스럽게 균일하게 하고 보호하는 가벼운 틴티드 SPF30 선크림.,creme
Sérum Acide Hyaluronique,Paris Glow,Soin visage,58.0,acide hyaluronique|hydratant|repulpant,Sérum à l'acide hyaluronique pour repulper et hydrater intensément la peau en profondeur.,Hyaluronic acid serum to plump and intensely hydrate skin in depth.,피부를 깊이 탄탄하게 하고 집중 보습하는 히알루론산 세럼.,serum
Tonique Équilibrant,Paris Glow,Nettoyage,22.0,tonique|équilibrant|pores,Tonique sans alcool qui rééquilibre le pH de la peau et resserre les pores.,Alcohol-free toner that rebalances skin pH and tightens pores.,피부 pH를 재조정하고 모공을 조여주는 무알콜 토너.,toner
Essence Fermeté Saké,Paris Glow,Soin visage,65.0,saké|fermeté|éclat,Essence au saké japonais pour illuminer et raffermir la peau. Texture légère et raffinée.,Japanese sake essence to brighten and firm skin. Light and refined texture.,피부를 밝히고 탄탄하게 하는 일본 사케 에센스. 가볍고 세련된 질감.,essence
Baume Lèvres Nourrissant,Douceur Naturelle,Lèvres,12.0,lèvres|nourrissant|réparateur,Baume lèvres ultra-nourrissant qui répare et protège les lèvres sèches et gercées.,Ultra-nourishing lip balm that repairs and protects dry and chapped lips.,건조하고 갈라진 입술을 회복하고 보호하는 초보습 립 밤.,baume
Gloss Lèvres Volume,Belle Séoul,Lèvres,18.0,gloss|volume|brillance,Gloss lèvres volumisant pour des lèvres pulpeuses et brillantes. Confort longue durée.,Volumizing lip gloss for plump and shiny lips. Long-lasting comfort.,도톰하고 윤기 있는 입술을 위한 볼류마이징 립 글로스. 오래 지속되는 편안함.,levres
Crayon Lèvres Précision,Belle Séoul,Lèvres,16.0,crayon|précision|longue tenue,Crayon lèvres longue tenue pour définir et sublimer le contour des lèvres.,Long-lasting lip liner to define and enhance lip contour.,입술 윤곽을 정확하게 그리고 돋보이게 하는 장지속 립 라이너.,levres
Huile Lèvres Nourrissante,Lumière Paris,Lèvres,24.0,huile|lèvres|nourrissant,Huile lèvres aux extraits de fruits pour nourrir et embellir les lèvres naturellement.,Lip oil with fruit extracts to naturally nourish and beautify lips.,과일 추출물이 담긴 립 오일로 자연스럽게 입술을 영양 공급하고 아름답게.,huile
Teinte Lèvres Longue Tenue,Yeonji cosmetics,Lèvres,20.0,teinte|longue tenue|mat,Teinte lèvres à tenue extrême pour une couleur intense et mate toute la journée.,Extreme long-lasting lip tint for intense and matte color all day.,하루 종일 강렬하고 매트한 컬러를 위한 극강 지속 립 틴트.,levres
Crème Contour Yeux Or,Prestige Beauté,Soin visage,120.0,or|anti-âge|yeux,Crème contour des yeux aux particules d'or pour un soin anti-âge luxueux et efficace.,Eye contour cream with gold particles for luxurious and effective anti-aging care.,럭셔리하고 효과적인 안티에이징 케어를 위한 골드 파티클 아이 컨투어 크림.,creme
Sérum Peptides Fermeté,Prestige Beauté,Anti-âge,105.0,peptides|fermeté|anti-âge,Sérum aux peptides bioactifs pour stimuler la production de collagène et raffermir la peau.,Serum with bioactive peptides to stimulate collagen production and firm skin.,콜라겐 생성을 촉진하고 피부를 탄탄하게 하는 바이오액티브 펩타이드 세럼.,serum
Masque Nuit Régénérant,Prestige Beauté,Soin visage,75.0,nuit|régénérant|masque,Masque de nuit sleeping pack qui agit pendant le sommeil pour une peau régénérée au réveil.,Sleeping pack night mask that works during sleep for regenerated skin upon waking.,수면 중 피부를 재생시켜 아침에 생기있는 피부를 위한 슬리핑 팩 나이트 마스크.,masque
Lotion Tonique Éclat,Hanul Beauté,Hydratation,30.0,tonique|éclat|hydratant,Lotion tonique légère qui prépare la peau à mieux absorber les soins suivants.,Light toning lotion that prepares skin to better absorb subsequent skincare.,이후 스킨케어의 흡수를 높이기 위해 피부를 준비시키는 가벼운 토닝 로션.,lotion
Crème Solaire Invisible,Protection Soleil,Solaire,32.0,invisible|SPF50|quotidien,Crème solaire à texture invisible SPF50 pour une protection quotidienne discrète.,Invisible texture SPF50 sunscreen for discreet daily protection.,매일 자연스러운 자외선 차단을 위한 투명한 질감의 SPF50 선크림.,creme
Huile Visage Squalane,Lumière Paris,Soin visage,52.0,squalane|hydratant|léger,Huile visage au squalane pour une hydratation profonde sans sensation grasse.,Squalane facial oil for deep hydration without greasy feeling.,끈적임 없는 깊은 보습을 위한 스쿠알란 페이셜 오일.,huile
Toner Acide Glycolique,Paris Glow,Nettoyage,38.0,acide glycolique|exfoliant|éclat,Toner exfoliant à l'acide glycolique pour affiner le grain de peau et révéler l'éclat.,Glycolic acid exfoliating toner to refine skin texture and reveal radiance.,피부 결을 정돈하고 광채를 드러내는 글리콜산 엑스폴리에이팅 토너.,toner
Crème Hydratante SPF30,Hanul Beauté,Hydratation,44.0,hydratant|SPF30|quotidien,Crème hydratante quotidienne avec protection solaire SPF30 pour simplifier la routine.,Daily moisturizer with SPF30 sun protection to simplify your skincare routine.,스킨케어 루틴을 간소화하는 SPF30 자외선 차단 기능의 일상 보습 크림.,creme
Essence Snail Mucin,Yeonji cosmetics,Soin visage,50.0,bave d'escargot|réparateur|hydratant,Essence à la bave d'escargot pour réparer et hydrater intensément la peau abîmée.,Snail mucin essence to intensely repair and hydrate damaged skin.,손상된 피부를 집중적으로 회복하고 보습하는 달팽이 뮤신 에센스.,essence
Crème Visage Cica,Douceur Naturelle,Soin visage,36.0,cica|apaisant|réparateur,Crème apaisante au centella asiatica pour calmer les rougeurs et réparer la peau sensible.,Centella asiatica soothing cream to calm redness and repair sensitive skin.,붉음증을 진정시키고 민감한 피부를 회복하는 센텔라 아시아티카 진정 크림.,creme
Masque Charbon Purifiant,Douceur Naturelle,Nettoyage,22.0,charbon|purifiant|pores,Masque au charbon actif pour purifier les pores en profondeur et éliminer les points noirs.,Activated charcoal mask to deeply purify pores and eliminate blackheads.,모공을 깊이 정화하고 블랙헤드를 제거하는 활성 숯 마스크.,masque
Sérum Vitamine E,Paris Glow,Soin visage,46.0,vitamine E|antioxydant|protecteur,Sérum à la vitamine E pour protéger la peau des radicaux libres et nourrir en profondeur.,Vitamin E serum to protect skin from free radicals and deeply nourish.,자유 라디칼로부터 피부를 보호하고 깊이 영양 공급하는 비타민 E 세럼.,serum
Lotion Corps Parfumée,Corps Doux,Corps,24.0,corps|parfumé|hydratant,Lotion corps légèrement parfumée pour une hydratation quotidienne et un sillage délicat.,Lightly scented body lotion for daily hydration and a delicate fragrance trail.,매일 보습과 은은한 향기를 위한 가볍게 향이 나는 바디 로션.,lotion
Gelée Nettoyante Douce,Hanul Beauté,Nettoyage,20.0,gelée|douce|nettoyant,Gelée nettoyante transparente qui nettoie en douceur tout en préservant l'hydratation naturelle.,Clear cleansing jelly that gently cleanses while preserving natural hydration.,자연 보습을 유지하면서 부드럽게 클렌징하는 투명한 클렌징 젤리.,gel
Crème Riche Nutrition,Lumière Paris,Soin visage,68.0,nutrition|riche|peaux sèches,Crème ultra-riche pour les peaux très sèches. Nourrit et protège intensément la barrière cutanée.,Ultra-rich cream for very dry skin. Intensely nourishes and protects the skin barrier.,매우 건조한 피부를 위한 초고농축 크림. 피부 장벽을 집중적으로 영양 공급하고 보호.,creme
Stick Lèvres SPF20,Protection Soleil,Lèvres,14.0,stick|lèvres|SPF20,Stick lèvres protecteur SPF20 pour protéger et hydrater les lèvres du soleil.,SPF20 protective lip stick to protect and moisturize lips from the sun.,태양으로부터 입술을 보호하고 보습하는 SPF20 보호 립 스틱.,levres
Ampoul Propolis,Yeonji cosmetics,Soin visage,72.0,propolis|anti-âge|réparateur,Ampoule à la propolis pour ses propriétés réparatrices et anti-âge sur la peau fatiguée.,Propolis ampoule for its repairing and anti-aging properties on tired skin.,피로한 피부의 회복과 안티에이징을 위한 프로폴리스 앰플.,ampoule
Crème Solaire Enfant,Protection Soleil,Solaire,26.0,enfant|SPF50|doux,Crème solaire douce SPF50 spécialement formulée pour la peau délicate des enfants.,Gentle SPF50 sunscreen specially formulated for children's delicate skin.,어린이의 민감한 피부를 위해 특별히 제조된 순한 SPF50 어린이 선크림.,creme
Démaquillant Yeux Doux,Douceur Naturelle,Nettoyage,16.0,yeux|démaquillant|doux,Démaquillant yeux biphasé doux pour retirer facilement le maquillage waterproof.,Gentle biphasic eye makeup remover to easily remove waterproof makeup.,워터프루프 메이크업을 쉽게 제거하는 순한 바이페이직 아이 메이크업 리무버.,nettoyant
Sérum Pré-Rasage,Paris Glow,Soin visage,40.0,rasage|apaisant|homme,Sérum pré-rasage pour préparer la peau et réduire les irritations après le rasage.,Pre-shave serum to prepare skin and reduce post-shave irritation.,면도 후 자극을 줄이고 피부를 준비시키는 프리 쉐이브 세럼.,serum
Crème Hydratante Homme,Paris Glow,Soin visage,38.0,homme|hydratant|fraîcheur,Crème hydratante légère spécialement formulée pour la peau des hommes. Sensation fraîche.,Light moisturizing cream specially formulated for men's skin. Fresh sensation.,남성 피부를 위해 특별히 제조된 가벼운 보습 크림. 상쾌한 느낌.,creme
Palette Contouring,Belle Séoul,Maquillage,52.0,contouring|sculpture|visage,Palette contouring pour sculpter et définir les traits du visage. 4 teintes harmonieuses.,Contouring palette to sculpt and define facial features. 4 harmonious shades.,얼굴 윤곽을 조각하고 정의하는 컨투어링 팔레트. 4가지 조화로운 색상.,soin_yeux
Highlighter Éclat Doré,Belle Séoul,Maquillage,34.0,highlighter|doré|éclat,Highlighter aux reflets dorés pour illuminer les points hauts du visage.,Highlighter with golden shimmer to illuminate the high points of the face.,얼굴의 높은 부위를 밝혀주는 골든 shimmer 하이라이터.,maquillage
Spray Fixateur Maquillage,Yeonji cosmetics,Maquillage,24.0,fixateur|longue tenue|spray,Spray fixateur de maquillage pour prolonger la tenue et apporter de la fraîcheur.,Makeup setting spray to extend wear and provide freshness.,메이크업 지속력을 높이고 청량감을 주는 세팅 스프레이.,maquillage
Crème Pieds Réparatrice,Corps Doux,Corps,18.0,pieds|réparateur|nourrissant,Crème pieds ultra-réparatrice pour des pieds doux et sans crevasses. Action rapide.,Ultra-repairing foot cream for soft and crack-free feet. Quick action.,부드럽고 갈라짐 없는 발을 위한 초회복 풋 크림. 빠른 효과.,creme
Gommage Lèvres Sucre,Lumière Paris,Lèvres,14.0,gommage|lèvres|sucre,Gommage lèvres au sucre pour exfolier et adoucir les lèvres gercées en douceur.,Sugar lip scrub to gently exfoliate and soften chapped lips.,갈라진 입술을 부드럽게 각질 제거하고 완화하는 슈가 립 스크럽.,levres
Sérum Éclat Nuit,Prestige Beauté,Anti-âge,88.0,nuit|éclat|régénérant,Sérum de nuit régénérant pour un teint éclatant et une peau lissée au réveil.,Regenerating night serum for a radiant complexion and smooth skin upon waking.,아침에 빛나는 피부톤과 매끄러운 피부를 위한 재생 나이트 세럼.,serum
Baume Corps Nourrissant,Corps Doux,Corps,30.0,baume|nourrissant|corps,Baume corps riche et fondant pour une nutrition intense des peaux déshydratées.,Rich and melting body balm for intense nutrition of dehydrated skin.,탈수된 피부의 집중 영양을 위한 풍부하고 부드러운 바디 밤.,baume
Crème Mains SPF15,Lumière Paris,Corps,17.0,mains|SPF15|protecteur,Crème mains avec protection solaire SPF15 pour protéger et hydrater les mains au quotidien.,Hand cream with SPF15 sun protection to protect and moisturize hands daily.,매일 손을 보호하고 보습하는 SPF15 자외선 차단 핸드크림.,creme
Toner Fermeté Collagène,Prestige Beauté,Hydratation,55.0,collagène|fermeté|toner,Toner au collagène pour booster la fermeté et l'élasticité de la peau dès la première étape.,Collagen toner to boost skin firmness and elasticity from the very first step.,첫 번째 단계부터 피부 탄력과 탄탄함을 높이는 콜라겐 토너.,toner
Mousse Coiffante Volume,Cheveux Lumière,Cheveux,18.0,coiffant|volume|cheveux fins,Mousse coiffante légère pour apporter du volume et de la tenue aux cheveux fins.,Light styling mousse to add volume and hold to fine hair.,가는 모발에 볼륨과 스타일링 지속력을 더하는 가벼운 스타일링 무스.,cheveux
